--------------------------------------------------------------------------------
Time Z   Y   X   ZNU      XLONG_U    XLAT_U     U
--------------------------------------------------------------------------------
0    10  20  30  0.7035   -83.7349   32.6234    11.8838
0    10  20  50  0.7035   -77.4650   31.4493    5.7277
0    10  20  70  0.7035   -71.4419   29.8795    6.4396
0    10  40  30  0.7035   -82.4883   38.0295    8.5101
0    10  40  50  0.7035   -75.7164   36.7346    7.9774
0    10  40  70  0.7035   -69.2561   35.0068    7.2997
0    15  20  30  0.3521   -83.7349   32.6234    10.1108
0    15  20  50  0.3521   -77.4650   31.4493    22.1514
0    15  20  70  0.3521   -71.4419   29.8795    19.9550
0    15  40  30  0.3521   -82.4883   38.0295    37.6282
0    15  40  50  0.3521   -75.7164   36.7346    24.5299
0    15  40  70  0.3521   -69.2561   35.0068    14.8713
0    20  20  30  0.1370   -83.7349   32.6234    33.1875
0    20  20  50  0.1370   -77.4650   31.4493    29.2281
0    20  20  70  0.1370   -71.4419   29.8795    39.9993
0    20  40  30  0.1370   -82.4883   38.0295    23.7055
0    20  40  50  0.1370   -75.7164   36.7346    29.4977
0    20  40  70  0.1370   -69.2561   35.0068    31.0706
0    25  20  30  0.0217   -83.7349   32.6234    21.9599
0    25  20  50  0.0217   -77.4650   31.4493    19.3602
